Training Time	Loss	Iteration	Mean Reward (/100ep)	Best Mean Reward	Episodes	Exploration	Learning Rate
19285.045668125153	2.10560369492	1000000	1017.5	1035.4	5585	0.2799999999999999	8.75e-05
19493.55147957802	2.10560369492	1010000	989.1	1035.4	5638	0.27279999999999993	8.725e-05
19700.022183418274	2.22730231285	1020000	934.8	1035.4	5685	0.26560000000000006	8.7e-05
19906.614915132523	2.22730231285	1030000	979.9	1035.4	5733	0.2584000000000001	8.675000000000001e-05
20119.243772745132	2.22730231285	1040000	991.5	1035.4	5782	0.2512	8.65e-05
20325.957446336746	2.22730231285	1050000	1018.2	1067.4	5829	0.244	8.625000000000001e-05
20532.015065193176	2.70185756683	1060000	972.3	1067.4	5880	0.2368	8.6e-05
20735.736513376236	2.70185756683	1070000	1011.6	1067.4	5922	0.22960000000000003	8.575000000000001e-05
20941.183456897736	2.70185756683	1080000	1114.0	1114.0	5966	0.22240000000000004	8.55e-05
21149.360060930252	2.70185756683	1090000	1152.2	1152.2	6011	0.21519999999999995	8.525000000000001e-05
21361.668199777603	1.9582978487	1100000	1120.7	1171.8	6057	0.20799999999999996	8.5e-05
21572.63085770607	1.9582978487	1110000	1198.3	1214.9	6099	0.20079999999999998	8.475e-05
21781.81285715103	1.9582978487	1120000	1158.0	1214.9	6146	0.1936	8.450000000000001e-05
21993.41624569893	1.9582978487	1130000	1066.4	1214.9	6193	0.1864	8.425e-05
22205.476147651672	2.71902298927	1140000	1080.0	1214.9	6236	0.17919999999999991	8.400000000000001e-05
22411.380634069443	2.71902298927	1150000	1173.5	1214.9	6280	0.17199999999999993	8.375e-05
22617.459913492203	2.71902298927	1160000	1206.9	1239.5	6324	0.16479999999999995	8.35e-05
22827.9867310524	2.71902298927	1170000	1259.6	1316.4	6368	0.15759999999999996	8.325e-05
23031.43049144745	2.27996015549	1180000	1251.0	1316.4	6412	0.15039999999999998	8.3e-05
23235.74311685562	2.27996015549	1190000	1308.2	1365.9	6455	0.1432	8.275e-05
23445.752341508865	2.27996015549	1200000	1321.4	1372.2	6501	0.136	8.25e-05
23651.479114055634	2.27996015549	1210000	1232.0	1372.2	6545	0.12880000000000003	8.225000000000001e-05
23865.84756374359	2.05386090279	1220000	1231.9	1372.2	6590	0.12160000000000004	8.2e-05
24073.78275680542	2.05386090279	1230000	1270.3	1372.2	6633	0.11439999999999995	8.175000000000001e-05
24276.844317913055	2.05386090279	1240000	1366.7	1374.1	6672	0.10719999999999996	8.15e-05
24489.743891000748	2.05386090279	1250000	1449.3	1472.1	6710	0.1	8.125e-05
24699.222939491272	2.78118610382	1260000	1435.8	1485.4	6751	0.09928000000000001	8.1e-05
24913.349304914474	2.78118610382	1270000	1344.8	1485.4	6794	0.09856000000000001	8.075000000000001e-05
25130.286582946777	2.78118610382	1280000	1363.7	1485.4	6835	0.09784000000000001	8.05e-05
25343.73225045204	2.78118610382	1290000	1410.7	1485.4	6877	0.09712000000000001	8.025e-05
25560.780289649963	2.54745960236	1300000	1427.7	1485.4	6919	0.0964	8e-05
25768.015458106995	2.54745960236	1310000	1462.4	1485.4	6960	0.09568	7.975e-05
25974.893052577972	2.54745960236	1320000	1443.4	1485.4	7001	0.09496	7.950000000000001e-05
